Scope                                                 ,Fluidics              ,Experiment
"SetInitialFocus*[['A1', 'A2','A3','B1']]*ManualWell" ,                      ,
"Acquire*[['A1', 'A2','A3','B1']]*preview"            ,                      ,
"FilterPositions*[['A1', 'A2','A3','B1']]*Draw"       ,                      ,
"SetFocus*[['A1', 'A2','A3','B1']]*RelativePlane"     ,                      ,
                                                      ,"hybe*[A,B]*hybe1"    ,
"Acquire*[['A1', 'A2']]*hybe1"                        ,"hybe*[C,D]*hybe1"    ,
"Acquire*[['A3', 'B1']]*hybe1"                        ,"strip*[A,B]*strip1"  ,
"Acquire*[['A1', 'A2']]*strip1"                       ,"strip*[C,D]*strip1"  ,
"Acquire*[['A3', 'B1']]*strip1"                       ,"hybe*[A,B]*hybe2"    ,
"Acquire*[['A1', 'A2']]*hybe2"                        ,"hybe*[C,D]*hybe2"    ,
"Acquire*[['A3', 'B1']]*hybe2"                        ,"strip*[A,B]*strip2"  ,
"Acquire*[['A1', 'A2']]*strip2"                       ,"strip*[C,D]*strip2"  ,
"Acquire*[['A3', 'B1']]*strip2"                       ,"hybe*[A,B]*hybe3"    ,
"Acquire*[['A1', 'A2']]*hybe3"                        ,"hybe*[C,D]*hybe3"    ,
"Acquire*[['A3', 'B1']]*hybe3"                        ,"strip*[A,B]*strip3"  ,
"Acquire*[['A1', 'A2']]*strip3"                       ,"strip*[C,D]*strip3"  ,
"Acquire*[['A3', 'B1']]*strip3"                       ,"hybe*[A,B]*hybe4"    ,
"Acquire*[['A1', 'A2']]*hybe4"                        ,"hybe*[C,D]*hybe4"    ,
"Acquire*[['A3', 'B1']]*hybe4"                        ,"strip*[A,B]*strip4"  ,
"Acquire*[['A1', 'A2']]*strip4"                       ,"strip*[C,D]*strip4"  ,
"Acquire*[['A3', 'B1']]*strip4"                       ,"hybe*[A,B]*hybe5"    ,
"Acquire*[['A1', 'A2']]*hybe5"                        ,"hybe*[C,D]*hybe5"    ,
"Acquire*[['A3', 'B1']]*hybe5"                        ,"strip*[A,B]*strip5"  ,
"Acquire*[['A1', 'A2']]*strip5"                       ,"strip*[C,D]*strip5"  ,
"Acquire*[['A3', 'B1']]*strip5"                       ,"hybe*[A,B]*hybe6"    ,
"Acquire*[['A1', 'A2']]*hybe6"                        ,"hybe*[C,D]*hybe6"    ,
"Acquire*[['A3', 'B1']]*hybe6"                        ,"strip*[A,B]*strip6"  ,
"Acquire*[['A1', 'A2']]*strip6"                       ,"strip*[C,D]*strip6"  ,
"Acquire*[['A3', 'B1']]*strip6"                       ,"hybe*[A,B]*hybe7"    ,
"Acquire*[['A1', 'A2']]*hybe7"                        ,"hybe*[C,D]*hybe7"    ,
"Acquire*[['A3', 'B1']]*hybe7"                        ,"strip*[A,B]*strip7"  ,
"Acquire*[['A1', 'A2']]*strip7"                       ,"strip*[C,D]*strip7"  ,
"Acquire*[['A3', 'B1']]*strip7"                       ,"hybe*[A,B]*hybe8"    ,
"Acquire*[['A1', 'A2']]*hybe8"                        ,"hybe*[C,D]*hybe8"    ,
"Acquire*[['A3', 'B1']]*hybe8"                        ,"strip*[A,B]*strip8"  ,
"Acquire*[['A1', 'A2']]*strip8"                       ,"strip*[C,D]*strip8"  ,
"Acquire*[['A3', 'B1']]*strip8"                       ,"hybe*[A,B]*hybe9"    ,
"Acquire*[['A1', 'A2']]*hybe9"                        ,"hybe*[C,D]*hybe9"    ,
"Acquire*[['A3', 'B1']]*hybe9"                        ,"strip*[A,B]*strip9"  ,
"Acquire*[['A1', 'A2']]*strip9"                       ,"strip*[C,D]*strip9"  ,
"Acquire*[['A3', 'B1']]*strip9"                       ,"hybe*[A,B]*hybe10"   ,
"Acquire*[['A1', 'A2']]*hybe10"                       ,"hybe*[C,D]*hybe10"   ,
"Acquire*[['A3', 'B1']]*hybe10"                       ,"strip*[A,B]*strip10" ,
"Acquire*[['A1', 'A2']]*strip10"                      ,"strip*[C,D]*strip10" ,
"Acquire*[['A3', 'B1']]*strip10"                      ,"hybe*[A,B]*hybe11"   ,
"Acquire*[['A1', 'A2']]*hybe11"                       ,"hybe*[C,D]*hybe11"   ,
"Acquire*[['A3', 'B1']]*hybe11"                       ,"strip*[A,B]*strip11" ,
"Acquire*[['A1', 'A2']]*strip11"                      ,"strip*[C,D]*strip11" ,
"Acquire*[['A3', 'B1']]*strip11"                      ,"hybe*[A,B]*hybe12"   ,
"Acquire*[['A1', 'A2']]*hybe12"                       ,"hybe*[C,D]*hybe12"   ,
"Acquire*[['A3', 'B1']]*hybe12"                       ,"strip*[A,B]*strip12" ,
"Acquire*[['A1', 'A2']]*strip12"                      ,"strip*[C,D]*strip12" ,
"Acquire*[['A3', 'B1']]*strip12"                      ,"hybe*[A,B]*hybe13"   ,
"Acquire*[['A1', 'A2']]*hybe13"                       ,"hybe*[C,D]*hybe13"   ,
"Acquire*[['A3', 'B1']]*hybe13"                       ,"strip*[A,B]*strip13" ,
