position_name,well,X,Y,Z
WellA_Xi-3_Yi-3,A,7221.7,116206.6944,1000.0
WellA_Xi-3_Yi-2,A,7221.7,117471.1296,1000.0
WellA_Xi-3_Yi-1,A,7221.7,118735.5648,1000.0
WellA_Xi-3_Yi0,A,7221.7,120000.0,1000.0
WellA_Xi-3_Yi1,A,7221.7,121264.4352,1000.0
WellA_Xi-3_Yi2,A,7221.7,122528.8704,1000.0
WellA_Xi-3_Yi3,A,7221.7,123793.3056,1000.0
WellA_Xi-2_Yi-3,A,8147.8,116206.6944,1000.0
WellA_Xi-2_Yi-2,A,8147.8,117471.1296,1000.0
WellA_Xi-2_Yi-1,A,8147.8,118735.5648,1000.0
WellA_Xi-2_Yi0,A,8147.8,120000.0,1000.0
WellA_Xi-2_Yi1,A,8147.8,121264.4352,1000.0
WellA_Xi-2_Yi2,A,8147.8,122528.8704,1000.0
WellA_Xi-2_Yi3,A,8147.8,123793.3056,1000.0
WellA_Xi-1_Yi-3,A,9073.9,116206.6944,1000.0
WellA_Xi-1_Yi-2,A,9073.9,117471.1296,1000.0
WellA_Xi-1_Yi-1,A,9073.9,118735.5648,1000.0
WellA_Xi-1_Yi0,A,9073.9,120000.0,1000.0
WellA_Xi-1_Yi1,A,9073.9,121264.4352,1000.0
WellA_Xi-1_Yi2,A,9073.9,122528.8704,1000.0
WellA_Xi-1_Yi3,A,9073.9,123793.3056,1000.0
WellA_Xi0_Yi-3,A,10000.0,116206.6944,1000.0
WellA_Xi0_Yi-2,A,10000.0,117471.1296,1000.0
WellA_Xi0_Yi-1,A,10000.0,118735.5648,1000.0
WellA_Xi0_Yi0,A,10000.0,120000.0,1000.0
WellA_Xi0_Yi1,A,10000.0,121264.4352,1000.0
WellA_Xi0_Yi2,A,10000.0,122528.8704,1000.0
WellA_Xi0_Yi3,A,10000.0,123793.3056,1000.0
WellA_Xi1_Yi-3,A,10926.1,116206.6944,1000.0
WellA_Xi1_Yi-2,A,10926.1,117471.1296,1000.0
WellA_Xi1_Yi-1,A,10926.1,118735.5648,1000.0
WellA_Xi1_Yi0,A,10926.1,120000.0,1000.0
WellA_Xi1_Yi1,A,10926.1,121264.4352,1000.0
WellA_Xi1_Yi2,A,10926.1,122528.8704,1000.0
WellA_Xi1_Yi3,A,10926.1,123793.3056,1000.0
WellA_Xi2_Yi-3,A,11852.2,116206.6944,1000.0
WellA_Xi2_Yi-2,A,11852.2,117471.1296,1000.0
WellA_Xi2_Yi-1,A,11852.2,118735.5648,1000.0
WellA_Xi2_Yi0,A,11852.2,120000.0,1000.0
WellA_Xi2_Yi1,A,11852.2,121264.4352,1000.0
WellA_Xi2_Yi2,A,11852.2,122528.8704,1000.0
WellA_Xi2_Yi3,A,11852.2,123793.3056,1000.0
WellA_Xi3_Yi-3,A,12778.3,116206.6944,1000.0
WellA_Xi3_Yi-2,A,12778.3,117471.1296,1000.0
WellA_Xi3_Yi-1,A,12778.3,118735.5648,1000.0
WellA_Xi3_Yi0,A,12778.3,120000.0,1000.0
WellA_Xi3_Yi1,A,12778.3,121264.4352,1000.0
WellA_Xi3_Yi2,A,12778.3,122528.8704,1000.0
WellA_Xi3_Yi3,A,12778.3,123793.3056,1000.0
WellA_Xi4_Yi-2,A,13704.4,117471.1296,1000.0
WellA_Xi4_Yi-1,A,13704.4,118735.5648,1000.0
WellA_Xi4_Yi0,A,13704.4,120000.0,1000.0
WellA_Xi4_Yi1,A,13704.4,121264.4352,1000.0
WellA_Xi4_Yi2,A,13704.4,122528.8704,1000.0
WellA_Xi5_Yi-1,A,14630.5,118735.5648,1000.0
WellA_Xi5_Yi0,A,14630.5,120000.0,1000.0
WellA_Xi5_Yi1,A,14630.5,121264.4352,1000.0
